-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1
-1,64,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,64,-1
0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0
0,0,5,-1,-1,-1,6,32,32,6,-1,-1,-1,5,0,0
0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,64,-1,-1,-1,-1,-1,-1,64,-1,-1,-1,-1
-1,64,-1,-1,0,0,0,0,0,0,0,0,-1,-1,64,-1
0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,64,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,64,-1
0,0,0,0,0,0,-1,32,32,-1,0,0,0,0,0,0
0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0
0,0,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
